tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,fBodyAcc-mean()-X,label
0.1984,0.6872,0.656,0.5517,0.077,0.4066,0.6322,0.6033,-0.0885,0.4441,1
1.0072,0.6281,0.9743,0.6308,0.1075,0.6126,0.4266,0.299,0.0233,0.6047,1
0.8075,0.6849,0.5303,-0.1435,0.4294,0.2702,0.3165,0.4161,0.227,-0.2541,1
0.7824,0.7071,0.9575,0.2909,-0.1739,-0.1091,0.4059,1.1163,0.6736,0.3062,1
0.7379,0.7396,0.7156,0.4662,0.2607,0.125,0.1583,0.4307,0.7401,-0.1713,1
0.4683,0.3737,0.7092,0.2644,0.4321,0.1882,0.4964,0.8096,-0.0221,0.6226,1
1.3042,0.5073,0.7709,0.4775,0.5895,1.0304,0.0416,1.1486,1.1254,0.7968,4
1.255,0.3518,0.2529,0.512,0.2415,0.1116,-0.1336,0.0354,0.8828,-0.1512,1
1.0094,0.7412,0.0452,0.4556,0.3888,0.628,0.8936,0.9725,0.3871,0.2256,1
0.5394,0.6543,0.4212,0.0819,0.8802,0.5825,0.8157,0.53,0.1453,0.1719,1
0.3624,0.3129,0.2349,0.5817,0.2982,0.5326,0.5184,0.3866,0.9999,0.5768,1
0.7662,0.7601,0.6092,0.6153,-0.0236,0.5979,0.7762,0.8467,0.5154,0.3384,1
0.6659,0.7124,0.5646,0.6089,0.4281,-0.0756,-0.0081,0.6864,0.2976,0.0598,1
0.6296,0.8697,0.6103,0.8927,0.3379,0.5903,0.8603,1.4459,1.1638,1.0467,6
0.7108,0.4249,0.661,0.1676,0.2006,-0.0149,0.2787,0.5505,0.3734,0.9003,1
0.3377,0.169,0.8867,0.5661,0.3982,0.2598,0.0497,0.4909,0.0195,0.2749,1
